theta,load,ev,category,cost,scen,pricing,Renewable_Share,mean price,mean quantity,sd price,delta CS,delta EV charging cost,delta PS,delta total surplus,delta CS-highflexible customer,delta CS-midflexible customer,delta CS-inflexible customer,value of dynamic pricing
0.1,2007,2016,fossil,current,Optimistic,flat,4.06,76,1065,0,42.3,-42.9,-5.4,36.9,40.3,40.3,40.3,0
0.1,2007,2016,fossil,current,Optimistic,dynamic,3.99,70,1073,7,46.8,-48.2,-5.7,41.2,46.4,45.8,45.8,4.3
0.1,2007,2016,fossil,current,Moderate,flat,4.08,80,1060,0,38.6,-39,-1.7,36.9,37.1,37.1,37.1,0
0.1,2007,2016,fossil,current,Moderate,dynamic,4,65,1076,4,47.6,-50.3,-6.9,40.7,50.4,47.4,46.9,3.8
0.1,2007,2016,fossil,current,Pessimistic,flat,4.08,80,1060,0,39.1,-39.6,-2.3,36.9,37.2,37.2,37.2,0
0.1,2007,2016,fossil,current,Pessimistic,dynamic,NA,61,1083,2,50.7,-54.4,-12.1,38.5,54.1,50.1,49.2,1.6
0.1,2007,2016,fossil,future,Optimistic,flat,4.3,126,1003,0,0,0,0,0,0,0,0,0
0.1,2007,2016,fossil,future,Optimistic,dynamic,4.24,112,1014,6,11.7,-14.6,-9.3,2.4,11.4,11,11,2.4
0.1,2007,2016,fossil,future,Moderate,flat,4.3,126,1004,0,0,0,0,0,0,0,0,0
0.1,2007,2016,fossil,future,Moderate,dynamic,4.24,110,1018,4,12.2,-14.2,-10.1,2.1,12.8,12.2,12.2,2.1
0.1,2007,2016,fossil,future,Pessimistic,flat,4.3,126,1003,0,0,0,0,0,0,0,0,0
0.1,2007,2016,fossil,future,Pessimistic,dynamic,NA,109,1010,4,5.5,-17.5,-4.3,1.1,13.9,4.9,4,1.1
0.1,2007,2016,100% Renewable,current,Optimistic,flat,100,172,967,0,-35.9,45.4,0.3,-35.6,-35.8,-35.8,-35.8,0
0.1,2007,2016,100% Renewable,current,Optimistic,dynamic,NA,127,1067,87,-12.9,-12.7,-4.6,-17.6,5.1,-14.8,-24.9,18
0.1,2007,2016,100% Renewable,current,Moderate,flat,100,168,966,0,-36.2,45,0.6,-35.6,-32.7,-32.7,-32.7,0
0.1,2007,2016,100% Renewable,current,Moderate,dynamic,NA,132,1051,93,-21,-14.7,-2.3,-23.3,6.3,-16,-27.4,12.3
0.1,2007,2016,100% Renewable,current,Pessimistic,flat,100,172,971,0,-27.2,34.3,-8.9,-36.1,-35.4,-35.4,-35.4,0
0.1,2007,2016,100% Renewable,current,Pessimistic,dynamic,NA,136,1041,95,-26.6,-16.6,-0.7,-27.2,8.1,-17.1,-29.5,8.9
0.1,2007,2016,100% Renewable,future,Optimistic,flat,100,98,1033,0,23.1,-23.3,-26.3,-3.2,22.4,22.4,22.4,0
0.1,2007,2016,100% Renewable,future,Optimistic,dynamic,100,83,1158,75,34.7,-46.2,-26.8,7.9,44.2,31.6,27.5,11.1
0.1,2007,2016,100% Renewable,future,Moderate,flat,100,98,1033,0,22.7,-22.9,-25.9,-3.2,22.5,22.5,22.5,0
0.1,2007,2016,100% Renewable,future,Moderate,dynamic,100,88,1137,79,31.1,-46.4,-26.2,5,44.7,31.4,27.5,8.2
0.1,2007,2016,100% Renewable,future,Pessimistic,flat,100,98,1033,0,23.3,-23.5,-26.5,-3.2,22.7,22.7,22.7,0
0.1,2007,2016,100% Renewable,future,Pessimistic,dynamic,100,91,1122,81,29.6,-47.7,-26.6,3,45.7,31.5,27.6,6.2
0.1,2007,2016,unconst.,current,Optimistic,flat,4.09,83,1058,0,36.9,-36.3,0,36.9,34.8,34.8,34.8,0
0.1,2007,2016,unconst.,current,Optimistic,dynamic,4,69,1072,6,47.6,-49.1,-6.5,41.2,47.3,46.7,46.7,4.3
0.1,2007,2016,unconst.,current,Moderate,flat,4.07,73,1065,0,42.4,-32.3,-5.5,36.9,43,43,43,0
0.1,2007,2016,unconst.,current,Moderate,dynamic,4.01,66,1073,5,45.3,-50.5,-4.4,40.8,49.8,45.5,44.8,3.9
0.1,2007,2016,unconst.,current,Pessimistic,flat,4.09,81,1058,0,38,-36.5,-1.1,36.8,36.7,36.7,36.7,0
0.1,2007,2016,unconst.,current,Pessimistic,dynamic,NA,61,1085,2,51.9,-55.1,-13.4,38.4,54,51.6,51.3,1.6
0.1,2007,2016,unconst.,future,Optimistic,flat,78,91,1043,0,28.9,-26.3,-2.4,26.5,28.5,28.5,28.5,0
0.1,2007,2016,unconst.,future,Optimistic,dynamic,NA,72,1106,34,39.5,-48.8,-6.1,33.4,46.1,38.2,34.6,6.9
0.1,2007,2016,unconst.,future,Moderate,flat,78,94,1039,0,26.1,-25.9,0.3,26.4,25.9,25.9,25.9,0
0.1,2007,2016,unconst.,future,Moderate,dynamic,80,75,1092,35,36.1,-48.6,-4.8,31.3,46.7,36.9,33.3,4.9
0.1,2007,2016,unconst.,future,Pessimistic,flat,78,94,1038,0,26.9,-25.8,-0.4,26.4,26.1,26.1,26.1,0
0.1,2007,2016,unconst.,future,Pessimistic,dynamic,79,80,1082,40,34,-50.3,-4.4,29.6,47.3,36,32.2,3.2
0.1,2045,2016,fossil,current,Optimistic,flat,4.39,60,982,0,54,-54.2,-17.3,36.7,54.5,54.5,54.5,0
0.1,2045,2016,fossil,current,Optimistic,dynamic,4.3,50,1002,1,63.2,-61.8,-23.9,39.3,62.9,62.8,62.8,2.6
0.1,2045,2016,fossil,current,Moderate,flat,4.39,61,982,0,53.4,-57.4,-16.7,36.7,53,53,53,0
0.1,2045,2016,fossil,current,Moderate,dynamic,4.29,50,1004,1,63.1,-65.1,-23.9,39.2,63.4,63.3,63.2,2.5
0.1,2045,2016,fossil,current,Pessimistic,flat,4.51,77,955,0,38.8,-44.8,-2.8,36.1,39.8,39.8,39.8,0
